node01sensor01cbar,node01sensor02cbar,node01sensor03cbar,node02sensor01cbar,node02sensor02cbar,node02sensor03cbar,node03sensor01cbar,node03sensor02cbar,node03sensor03cbar,node04sensor01cbar,node04sensor02cbar,node04sensor03cbar
37.9961454545455,26.0654545454545,77.6218181818182,34.7635636363636,21.7309090909091,55.0690909090909,40.4218181818182,NaN,25.7527272727273,0,0,0
28.4236363636364,26.3927272727273,79.2509090909091,34.7132363636364,17.3236363636364,55.6072727272727,39.9927272727273,NaN,24.1454545454545,14.0218181818182,4.95272727272727,11.2436363636364
23.0915636363636,27.04,79.8763636363636,34.4599272727273,14.2254545454545,56.1818181818182,38,14.5454545454545,24.3563636363636,13.2581818181818,4.93818181818182,11.1927272727273
21.1607272727273,27.3236363636364,79.36,34.5022545454545,12,56.5745454545455,35.6945454545455,14.4218181818182,24.5454545454545,12.1818181818182,5.06181818181818,11.2436363636364
21.1676363636364,27.6654545454545,80.5890909090909,34.5402181818182,10.1963636363636,57.0545454545455,34.24,14.08,24.72,11.52,5.01090909090909,11.3236363636364
21.3018909090909,27.8909090909091,80.3927272727273,34.6298909090909,8.93818181818182,57.44,33.2872727272727,13.92,25.1345454545455,11.3890909090909,4.91636363636364,11.2654545454545
21.3277818181818,28.0290909090909,80.2618181818182,34.1963636363636,8.17454545454545,57.3745454545455,32.4290909090909,13.6072727272727,25.2727272727273,11.5127272727273,4.96727272727273,11.2072727272727
23.0298909090909,28.1018181818182,80.1963636363636,34.384,7.89090909090909,57.3963636363636,31.92,13.4618181818182,25.6072727272727,11.8109090909091,4.98909090909091,11.24
23.5370909090909,28.1745454545455,78.2690909090909,34.5536,7.6,57.3745454545455,31.4981818181818,13.2290909090909,25.7236363636364,12.0145454545455,4.88,11.2581818181818
25.0914181818182,28.3781818181818,78.5818181818182,36.0025454545455,7.57818181818182,57.0763636363636,31.1272727272727,50.88,25.8327272727273,12.2181818181818,4.95272727272727,11.28
24.2224,28.2472727272727,79.8036363636364,35.1944,7.38909090909091,56.9890909090909,30.6909090909091,28.2109090909091,25.9490909090909,12.3490909090909,5.01818181818182,11.2909090909091
25.3246545454545,28.2472727272727,79.8036363636364,35.8400727272727,7.42545454545455,56.88,30.4,12.64,25.9563636363636,12.4727272727273,4.95272727272727,11.3090909090909
25.4189818181818,28.24,79.6727272727273,37.5881454545455,7.51272727272727,56.6472727272727,30.1163636363636,12.4436363636364,26,12.6109090909091,5.03272727272727,11.2509090909091
25.4277818181818,28.1745454545455,79.2872727272727,38.0607272727273,7.38909090909091,56.6472727272727,29.9927272727273,12.4290909090909,26.1090909090909,12.6109090909091,5.03272727272727,11.3018181818182
25.7385454545455,28.1018181818182,79.6072727272727,38.1053818181818,7.44,56.8363636363636,29.9272727272727,12.2909090909091,26.1090909090909,12.7418181818182,5.07636363636364,11.3309090909091
27.0242181818182,28.3127272727273,78.0072727272727,38.3679272727273,7.42545454545455,56.7490909090909,29.9127272727273,12.16,26.1527272727273,12.7709090909091,5.10545454545455,11.2727272727273
27.9429090909091,28.1672727272727,79.5345454545455,38.1536727272727,7.41090909090909,56.48,29.9345454545455,12.08,26.0727272727273,12.88,5.12,11.3236363636364
28.0082909090909,28.24,79.5345454545455,38.1381090909091,7.61454545454545,56.2690909090909,29.9709090909091,12.0145454545455,26.0145454545455,13.0036363636364,5.17818181818182,11.4036363636364
28.1105454545455,28.0218181818182,79.5345454545455,38.3792,7.61454545454545,56.2690909090909,30.0145454545455,11.9272727272727,26.0945454545455,13.0690909090909,5.24363636363636,11.3018181818182
28.0587636363636,27.9563636363636,79.3454545454545,38.6861090909091,7.63636363636364,56.16,30.1163636363636,11.8763636363636,26.08,13.1418181818182,5.25818181818182,11.3527272727273
27.9912727272727,27.9563636363636,79.3454545454545,34.1845818181818,7.65090909090909,56.16,30.2836363636364,11.8545454545455,26.1454545454545,13.2290909090909,5.25818181818182,11.3527272727273
25.9978181818182,28.0945454545455,78.4509090909091,38.4013818181818,7.68727272727273,56.08,30.4290909090909,11.9127272727273,26.1454545454545,13.2654545454545,5.30181818181818,11.3527272727273
24.4092363636364,28.32,80.1963636363636,36.0985454545455,7.66545454545455,56.48,30.2909090909091,NaN,26.2254545454545,13.1272727272727,5.38909090909091,11.3527272727273
23.9446545454545,28.3854545454545,80.4509090909091,37.0576727272727,7.56363636363636,56.4,30.1163636363636,NaN,26.3054545454545,13.0109090909091,5.37454545454545,11.4690909090909
25.1197090909091,28.5236363636364,80.5163636363636,38.3589090909091,7.57818181818182,56.88,30.0945454545455,NaN,26.3345454545455,12.9672727272727,5.36,11.3890909090909
25.5502545454545,28.8945454545455,80.3854545454546,37.5719272727273,7.6,57.0763636363636,30.3490909090909,NaN,26.5890909090909,12.9890909090909,5.42545454545455,11.44
25.9912727272727,28.8290909090909,79.9345454545455,38.5750545454545,7.68,57.5054545454545,30.5163636363636,11.6072727272727,26.8436363636364,12.9309090909091,5.37454545454545,11.4690909090909
26.5988363636364,29.2654545454545,80.3927272727273,38.8328727272727,7.76727272727273,57.3745454545455,30.7563636363636,11.5709090909091,27.2,12.9309090909091,5.31636363636364,11.4
26.5662545454545,29.4909090909091,79.8618181818182,39.5794181818182,8.07272727272727,57.4836363636364,30.9745454545455,11.4763636363636,27.3818181818182,13.1127272727273,5.31636363636364,11.4509090909091
26.7111272727273,29.6436363636364,80.3854545454546,41.1213090909091,8.30545454545454,58.1745454545455,31.1854545454545,11.4327272727273,27.7745454545455,13.2581818181818,5.31636363636364,11.5090909090909
