when,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
27-Apr-2017 06:46:58,4.981408,862,427,243,-145,623,210
27-Apr-2017 07:00:08,4.981408,868,426,242,-147,625,200
27-Apr-2017 07:15:09,4.981408,868,426,242,-147,625,200
27-Apr-2017 07:30:09,5.003647,873,428,243,-148,624,204
27-Apr-2017 07:45:04,5.003647,873,428,243,-148,624,204
27-Apr-2017 08:00:05,5.003647,872,425,241,-143,625,208
27-Apr-2017 08:15:01,5.003647,872,425,241,-143,625,208
27-Apr-2017 08:30:04,5.003647,885,397,243,-136,621,196
27-Apr-2017 08:45:02,5.003647,885,397,243,-136,621,196
27-Apr-2017 09:00:25,5.003647,890,405,244,-136,621,196
27-Apr-2017 09:16:10,5.003647,890,405,244,-136,621,196
27-Apr-2017 09:45:15,5.003647,897,428,243,-144,621,202
27-Apr-2017 10:30:09,5.003647,910,413,244,-138,621,199
27-Apr-2017 10:45:11,5.003647,910,413,244,-138,621,199
27-Apr-2017 11:44:50,5.003647,938,432,245,-134,624,204
27-Apr-2017 11:45:46,5.003647,938,432,245,-134,624,204
09-May-2017 10:06:54,4.519423,2832,-742,553,250,580,203
09-May-2017 10:15:11,4.519423,2832,-742,553,250,580,203
09-May-2017 10:30:12,4.519423,2510,-695,555,242,584,206
09-May-2017 11:00:14,4.501272,2376,-699,557,245,588,206
09-May-2017 11:15:13,4.501272,2376,-699,557,245,588,206
09-May-2017 11:45:13,4.501272,2247,-687,556,246,578,204
09-May-2017 12:00:13,4.519423,2130,-660,553,243,572,195
09-May-2017 12:15:11,4.519423,2130,-660,553,243,572,195
09-May-2017 12:30:13,4.53772,2059,-649,554,245,575,200
09-May-2017 13:15:13,4.574762,1965,-622,555,236,571,204
09-May-2017 13:30:20,4.593512,1900,-637,553,241,574,199
09-May-2017 13:45:10,4.593512,1900,-637,553,241,574,199
09-May-2017 14:00:08,4.612415,1820,-604,548,243,570,194
09-May-2017 14:15:11,4.612415,1820,-604,548,243,570,194
09-May-2017 14:45:12,4.593512,1764,-598,545,241,570,193
09-May-2017 15:00:19,4.53772,1733,-603,544,242,576,199
09-May-2017 15:32:40,4.574762,1699,-586,542,247,576,200
09-May-2017 16:00:14,4.574762,1655,-580,542,239,582,200
09-May-2017 16:15:13,4.574762,1655,-580,542,239,582,200
09-May-2017 16:45:12,4.53772,1623,-581,541,248,579,203
09-May-2017 17:00:14,4.519423,1598,-595,538,250,580,202
09-May-2017 17:15:11,4.519423,1598,-595,538,250,580,202
09-May-2017 17:30:12,4.501272,1581,-582,537,243,581,205
09-May-2017 17:45:11,4.501272,1581,-582,537,243,581,205
09-May-2017 18:00:12,4.483267,1567,-583,537,244,579,201
09-May-2017 18:15:11,4.483267,1567,-583,537,244,579,201
09-May-2017 18:45:11,4.465406,1539,-559,536,233,578,209
09-May-2017 19:00:12,4.447686,1535,-579,534,241,580,201
09-May-2017 19:15:08,4.447686,1535,-579,534,241,580,201
09-May-2017 19:30:12,4.447686,1510,-562,532,235,579,198
09-May-2017 19:45:10,4.447686,1510,-562,532,235,579,198
09-May-2017 20:15:13,4.447686,1508,-570,533,244,578,203
09-May-2017 21:00:17,4.430106,1478,-578,531,243,581,201
09-May-2017 21:15:11,4.430106,1478,-578,531,243,581,201
09-May-2017 21:45:11,4.430106,1467,-555,532,241,582,200
09-May-2017 22:00:11,4.412664,1445,-548,529,237,578,205
09-May-2017 22:15:11,4.412664,1445,-548,529,237,578,205
09-May-2017 22:30:08,4.412664,1447,-561,531,243,580,200
