when,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
27-Apr-2017 06:47:04,4.574645,622,261,614,232,605,-227
27-Apr-2017 07:00:15,4.611241,627,262,615,238,608,-223
27-Apr-2017 07:15:13,4.611241,627,262,615,238,608,-223
27-Apr-2017 07:30:16,4.667248,622,256,612,237,606,-216
27-Apr-2017 07:45:09,4.667248,622,256,612,237,606,-216
27-Apr-2017 08:00:16,4.667248,622,264,613,237,608,-212
27-Apr-2017 08:15:07,4.667248,622,264,613,237,608,-212
27-Apr-2017 08:30:09,4.648429,622,262,614,239,608,-222
27-Apr-2017 08:45:10,4.648429,622,262,614,239,608,-222
27-Apr-2017 09:00:31,4.62976,621,260,612,240,609,-219
27-Apr-2017 09:16:20,4.62976,621,260,612,240,609,-219
27-Apr-2017 09:30:38,4.611241,620,260,612,240,608,-221
27-Apr-2017 09:45:27,4.611241,620,260,612,240,608,-221
27-Apr-2017 10:30:14,4.611241,612,245,621,246,614,-231
27-Apr-2017 10:45:16,4.611241,612,245,621,246,614,-231
27-Apr-2017 11:45:49,4.62976,609,255,625,240,613,-219
09-May-2017 10:05:18,4.574645,2013,489,3369,-428,3403,694
09-May-2017 10:06:57,4.574645,2013,489,3369,-428,3403,694
09-May-2017 10:45:12,4.556563,2337,484,7311,-647,3283,634
09-May-2017 12:15:14,4.556563,2935,622,3999,-178,3359,672
09-May-2017 12:45:17,4.574645,2966,604,3473,-175,3375,656
09-May-2017 13:15:16,4.59287,3105,630,3095,-202,3398,667
09-May-2017 13:45:13,4.62976,3319,702,2800,-229,3411,677
09-May-2017 14:15:15,4.611241,3392,719,2566,-250,3417,681
09-May-2017 14:45:16,4.59287,3400,720,2367,-271,3417,679
09-May-2017 15:00:22,4.59287,3400,720,2367,-271,3417,679
09-May-2017 15:15:14,4.574645,3425,710,2228,-280,3432,674
09-May-2017 16:45:15,4.556563,3212,683,1888,-302,3445,682
09-May-2017 17:00:24,4.556563,3212,683,1888,-302,3445,682
09-May-2017 17:15:13,4.520825,3133,678,1807,-305,3445,704
09-May-2017 17:45:13,4.485644,3056,649,1730,-297,3455,704
09-May-2017 18:15:13,4.468257,2986,644,1665,-307,3459,703
09-May-2017 18:45:14,4.433886,2950,642,1605,-307,3459,702
09-May-2017 19:15:10,4.416898,2886,623,1549,-308,3452,705
09-May-2017 19:45:13,4.400039,2834,613,1503,-306,3455,717
09-May-2017 20:15:13,4.383309,2773,615,1459,-299,3462,707
09-May-2017 20:45:13,4.383309,2695,601,1418,-305,3455,712
09-May-2017 21:15:13,4.366706,2646,593,1378,-297,3456,712
09-May-2017 21:45:16,4.350228,2598,597,1343,-294,3459,733
09-May-2017 22:15:13,4.333873,2531,569,1311,-293,3459,706
09-May-2017 22:45:10,4.333873,2472,561,1282,-287,3458,725
09-May-2017 23:15:14,4.317642,2411,570,1254,-292,3451,717
09-May-2017 23:45:14,4.301531,2359,562,1227,-283,3453,731
10-May-2017 00:15:10,4.301531,2304,546,1201,-285,3453,726
10-May-2017 01:15:09,4.269668,2205,537,1156,-279,3445,727
10-May-2017 01:45:12,4.269668,2164,524,1132,-267,3445,726
10-May-2017 02:45:13,4.238274,2076,513,1095,-272,3432,733
10-May-2017 03:15:12,4.238274,2034,505,1074,-267,3433,740
10-May-2017 03:45:13,4.222749,1993,488,1057,-262,3428,739
10-May-2017 04:15:12,4.207337,1960,490,1041,-267,3414,728
10-May-2017 04:45:08,4.192038,1923,483,1023,-262,3415,745
10-May-2017 05:00:11,4.192038,1896,470,1013,-260,3406,743
10-May-2017 05:15:13,4.192038,1896,470,1013,-260,3406,743
10-May-2017 05:30:14,4.176849,1860,454,997,-256,3399,743
10-May-2017 05:45:13,4.176849,1860,454,997,-256,3399,743
10-May-2017 06:15:14,4.176849,1835,451,985,-250,3395,745
10-May-2017 06:45:12,4.207337,1800,449,970,-255,3383,757
10-May-2017 07:15:18,4.238274,1779,448,963,-253,3383,756
10-May-2017 07:30:16,4.269668,1752,445,950,-257,3376,758
10-May-2017 08:00:17,4.301531,1724,434,939,-250,3364,756
10-May-2017 08:15:16,4.301531,1724,434,939,-250,3364,756
