when,module,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
2017-04-30 03:00:00.000,3,3.53622817993164,911,298,572,213,984,-313
2017-04-30 04:00:00.000,3,3.50398278236389,901,301,569,212,976,-309
2017-04-30 05:00:00.000,3,3.47232031822205,891,296,565,209,970,-317
2017-04-30 06:00:00.000,3,3.45152807235718,886,297,568,214,964,-307
2017-04-30 07:00:00.000,3,3.42080211639404,952,311,752,278,1275,-390
2017-04-30 08:00:00.000,3,3.38067555427551,1001,311,702,255,1283,-382
2017-04-30 09:00:00.000,3,3.3609631061554,3509,1016,2237,210,2081,-479
2017-04-30 10:00:00.000,3,3.35119295120239,2941,834,2222,36,2571,-580
2017-04-30 11:00:00.000,3,3.37079048156738,3291,783,1932,-37,2945,-608
2017-04-30 12:00:00.000,3,3.47232031822205,4076,811,1372,117,3085,-609
2017-04-30 13:00:00.000,3,3.47232031822205,4833,843,1531,196,3143,-603
2017-04-30 14:00:00.000,3,3.6481339931488,5197,840,1266,211,3207,-633
2017-04-30 15:00:00.000,3,3.47232031822205,5058,839,1399,225,3300,-627
2017-04-30 16:00:00.000,3,3.3609631061554,4205,759,1335,236,3524,-662
2017-04-30 17:00:00.000,3,3.46189284324646,4088,789,1204,244,3621,-679
2017-04-30 18:00:00.000,3,3.55805659294128,3823,794,1522,133,3596,-664
2017-04-30 19:00:00.000,3,3.39061856269836,3565,785,1297,176,3545,-687
2017-04-30 20:00:00.000,3,3.16706132888794,3307,752,1169,200,3444,-665
2017-05-04 14:00:00.000,3,5.33708524703979,4954,959,1145,-258,3388,695
2017-05-04 15:00:00.000,3,5.48957300186157,4496,930,1078,-258,3467,695
2017-05-04 16:00:00.000,3,5.43778467178345,4051,889,1029,-263,3536,729
2017-05-04 17:00:00.000,3,5.43778467178345,3656,819,980,-252,3584,725
2017-05-04 18:00:00.000,3,5.41225528717041,3344,773,938,-254,3614,745
2017-05-04 19:00:00.000,3,5.38696432113647,3073,742,903,-250,3636,754
2017-05-04 20:00:00.000,3,5.36190891265869,2857,690,870,-247,3659,743
2017-05-04 21:00:00.000,3,5.33708524703979,2681,662,842,-242,3669,755
2017-05-04 22:00:00.000,3,5.31249046325684,2538,641,816,-238,3675,760
2017-05-04 23:00:00.000,3,5.28812074661255,2410,617,791,-231,3663,755
2017-05-05 00:00:00.000,3,5.28812074661255,2314,602,772,-232,3671,767
2017-05-05 01:00:00.000,3,5.2639741897583,2221,568,752,-225,3656,765
2017-05-05 02:00:00.000,3,5.2639741897583,2132,556,736,-224,3651,766
2017-05-05 03:00:00.000,3,5.2639741897583,2541,592,1016,-295,3624,764
2017-05-05 04:00:00.000,3,5.24004697799683,3122,625,4121,-184,3511,694
2017-05-05 05:00:00.000,3,5.21633672714233,2867,542,6619,-88,3421,637
2017-05-05 06:00:00.000,3,5.21633672714233,2702,581,2843,3,3501,705
2017-05-05 07:00:00.000,3,5.21633672714233,2581,581,2260,-139,3501,706
2017-05-05 08:00:00.000,3,5.19283962249756,2481,576,1992,-200,3506,732
2017-05-05 09:00:00.000,3,5.19283962249756,2377,548,1804,-242,3493,736
2017-05-05 10:00:00.000,3,4.96901035308838,2287,537,1647,-264,3485,730
2017-05-05 11:00:00.000,3,5.16955280303955,2189,525,1517,-284,3475,748
2017-05-05 12:00:00.000,3,5.21633672714233,2109,522,1413,-291,3469,744
2017-05-05 13:00:00.000,3,5.21633672714233,2022,498,1328,-290,3465,748
2017-05-05 14:00:00.000,3,5.24004697799683,1940,484,1254,-291,3460,735
