when,battery,d15cm,d15cm_bias,d45cm,d45cm_bias,d75cm,d75cm_bias
27-Apr-2017 06:47:06,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 07:00:18,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 07:15:16,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 07:45:11,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 08:02:30,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 08:30:12,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 08:45:13,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 09:00:35,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 09:16:31,4.91612,497,-850,1187,-379,581,144
27-Apr-2017 09:47:42,4.591087,531,-963,1132,-365,567,142
27-Apr-2017 10:30:18,4.727843,553,-947,1140,-355,566,144
27-Apr-2017 10:45:19,4.727843,553,-947,1140,-355,566,144
27-Apr-2017 11:44:56,4.748048,546,-951,1136,-365,557,144
09-May-2017 10:06:58,3.002819,904,-300,1001,-326,1228,291
18-May-2017 10:45:44,5.07433,343,688,-1,0,-1,0
18-May-2017 11:00:48,5.07433,216,435,-1,0,-1,0
18-May-2017 11:28:11,5.07433,1004,-1904,813334,1636069,310,139
18-May-2017 12:30:47,5.07433,629,-333,505719,1020839,1586,8342
18-May-2017 13:45:42,5.07433,397,-758,-2350,4699,63,81
18-May-2017 15:00:41,5.07433,563,-416,489,2389,763,5287
18-May-2017 15:15:41,5.07433,563,-416,489,2389,763,5287
18-May-2017 15:30:47,5.07433,614,-316,496,2441,999,5286
18-May-2017 17:30:40,5.07433,718,-158,466,2315,63,3822
18-May-2017 18:00:44,5.07433,734,-153,466,2311,-64,4453
18-May-2017 18:15:42,5.07433,734,-153,466,2311,-64,4453
18-May-2017 18:31:09,5.07433,735,-169,467,2297,215,4740
18-May-2017 18:45:44,5.07433,735,-169,467,2297,215,4740
19-May-2017 08:00:41,5.07433,2515,3184,455,2343,-329,7802
19-May-2017 09:16:02,5.07433,1554,1272,447,2272,2020,4043
19-May-2017 09:30:59,5.07433,1909,1995,439,2263,2408,4818
19-May-2017 09:45:45,5.07433,1909,1995,439,2263,2408,4818
19-May-2017 11:45:44,5.07433,450,-864,201629,412659,39,14
19-May-2017 12:15:39,5.07433,448,-862,202334,414069,-1,-7
19-May-2017 12:30:41,5.07433,445,-866,202099,413599,-2,0
19-May-2017 14:15:40,5.07433,445,-864,471,2509,246,86
19-May-2017 14:30:41,5.07433,445,-861,201394,412189,28,6
19-May-2017 15:30:41,5.07433,446,-865,405139,819679,132,30
19-May-2017 16:15:38,5.07433,447,-864,404199,817799,754,479
19-May-2017 16:30:42,5.07433,448,-873,404199,817799,484,334
19-May-2017 17:00:44,5.07433,448,-869,455,2428,354,2212
19-May-2017 17:15:39,5.07433,448,-869,455,2428,354,2212
19-May-2017 17:30:46,5.07433,465,-863,429,2222,-352,7285
19-May-2017 17:45:42,5.07433,465,-863,429,2222,-352,7285
19-May-2017 18:00:41,5.07433,493,-824,418,2207,-117,8695
19-May-2017 19:00:46,5.07433,556,-716,422,2202,764,10222
19-May-2017 21:00:46,5.07433,1975,2063,419,2204,603,8569
19-May-2017 23:45:43,5.07433,3470,5034,410,2189,744,7126
20-May-2017 00:00:40,5.07433,3528,5139,412,2177,901,7440
20-May-2017 00:45:39,5.07433,3420,4925,412,2179,324,6287
20-May-2017 01:30:40,5.07433,3534,5146,402,2203,454,6339
20-May-2017 01:45:39,5.07433,3534,5146,402,2203,454,6339
20-May-2017 02:45:38,5.07433,3578,5217,403,2190,274,5561
20-May-2017 03:15:39,5.07433,3330,4708,404,2204,374,6200
20-May-2017 03:45:39,5.07433,3304,4658,398,2200,164,5781
20-May-2017 05:45:39,5.07433,3019,4069,405,2187,557,6403
20-May-2017 10:15:39,5.07433,466,-899,202334,414069,4,8
20-May-2017 10:45:39,5.07433,454,-886,201864,413129,-5,-19
20-May-2017 12:15:45,5.07433,458,-858,429,2316,480,343
20-May-2017 12:45:45,5.07433,457,-878,405609,820619,6,-1
20-May-2017 13:15:44,5.07433,453,-876,201629,412659,6,-1
20-May-2017 14:45:39,5.07433,453,-871,275,2045,151,31
20-May-2017 15:30:42,5.07433,449,-869,201394,412189,99,37
20-May-2017 15:45:42,5.07433,449,-869,201394,412189,99,37
20-May-2017 16:00:43,5.07433,450,-870,431,2353,163,87
20-May-2017 16:30:40,5.07433,458,-880,412,2211,494,374
20-May-2017 17:45:39,5.07433,911,19,424,2298,353,6344
20-May-2017 18:30:42,5.07433,3098,4363,403,2168,-100,7317
20-May-2017 19:30:39,5.07433,3392,4930,409,2179,104,6905
20-May-2017 20:15:40,5.07433,3237,4614,401,2176,497,7196
20-May-2017 20:45:42,5.07433,3351,4829,395,2218,-5,6287
20-May-2017 21:30:41,5.07433,3026,4167,411,2221,187,6673
20-May-2017 21:45:41,5.07433,2999,4108,405,2182,399,6250
20-May-2017 23:00:41,5.07433,2942,3973,390,2185,813,6950
