2016,12,26,17,16,12,31.50,4.83,40961,20479,40154,41151,41098,41151,40103,41151,41151,41098,41203,41151,41151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-39752,19875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40256,39672,39773,38383,38334,40256,40205,39722,40256,40256,40154,-47,-21,0,-114,-56,0,0,-56,-55,0,-55,-110,-54,0,0,-26,0,0,0,26,26,0,0,0,
2016,12,26,17,16,14,31.50,4.83,41239,20618,40103,41098,40994,41046,41046,41046,41455,41560,42086,41046,42139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-41395,20696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41151,41046,42032,41613,41098,41046,42086,41098,41046,41560,41560,-34,-24,0,-54,-106,-53,54,-255,103,-150,-100,101,0,-52,0,0,0,-26,26,26,-26,26,-26,-26,
2016,12,26,17,17,46,31.75,4.83,34587,17292,34888,34888,34888,34511,34888,34798,34421,34466,34511,34097,34097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-33675,16836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34185,34141,33422,33822,33422,33422,33422,33422,33465,34185,33509,-16,-237,-266,-245,-250,-245,-239,-239,-250,-245,-250,-239,-234,-266,-234,-228,-233,-233,-223,-223,-217,-223,-223,,
2016,12,26,17,19,32,31.75,4.83,18437,5616,16523,15674,15651,14543,14681,14476,14681,14681,14143,13992,14143,-3588,-3569,-3589,-3606,-3610,-3597,-3608,-3606,-3605,-3627,,-18731,9364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19043,19126,18719,18719,18746,18719,18587,18614,18719,18587,18456,-2,-4632,-4635,-4635,-4635,-4635,-4630,-4630,-4630,-4635,-4635,-4635,-4635,-4635,-4629,-4635,-4635,-4629,-4629,-4635,-4629,-4635,-4630,-4629,
2016,12,26,17,19,56,31.75,4.85,17790,5338,15081,14341,14143,14341,14165,14430,13992,13885,14143,13906,14143,-3548,-3545,-3555,-3566,-3558,-3539,-3562,-3584,-3559,-3557,,-23495,11746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23121,23245,23245,23436,23628,23628,23628,23628,23628,23628,23628,0,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,
2016,12,26,17,20,48,31.75,4.85,21727,7106,20146,18452,18166,17813,17938,17420,17689,17787,17420,17182,17663,-3736,-3745,-3803,-3749,-3751,-3751,-3749,-3773,-3749,-3749,,-26323,13160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26668,26165,25711,26165,26165,26433,26165,26397,27115,26397,26165,-1,-4688,-4689,-4689,-4683,-4683,-4694,-4689,-4694,-4683,-4689,-4694,-4700,-4689,-4694,-4689,-4694,-4689,-4689,-4689,-4689,-4683,-4689,-4683,
2016,12,27,09,56,27,30.25,4.85,24089,8158,20146,20424,20270,19555,19819,19242,20738,20580,21224,20424,19819,-3880,-3878,-3889,-3864,-3887,-3886,-3896,-3895,-3895,-3883,,132327,95131,138180,138180,175075,139120,173900,173900,173900,139120,173900,175075,173900,29124,29086,29086,29086,29086,29086,29086,29086,28541,,,12,-4683,-4662,-4667,-4667,-4673,-4667,-4667,-4689,-4689,-4694,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,-4689,
2016,12,28,12,06,33,30.75,4.80,24744,8501,22015,22015,21330,21330,20709,20650,20680,20522,20680,19910,19762,-3873,-3854,-3875,-3874,-3873,-3871,-3847,-3870,-3881,-3891,,-28349,14173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27465,28465,28503,27428,27428,27465,29047,29009,29009,29009,29009,0,-4638,-4640,-4646,-4635,-4640,-4640,-4640,-4635,-4635,-4635,-4640,-4635,-4640,-4640,-4640,-4635,-4640,-4635,-4640,-4640,-4640,-4640,-4635,
2016,12,28,12,06,38,30.75,4.80,24834,8528,21421,22046,20680,20680,21330,21607,20680,21330,20060,20680,19882,-3856,-3877,-3910,-3898,-3873,-3884,-3906,-3893,-3886,-3881,,-29553,14775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29610,29531,29570,29492,29570,29570,29531,29570,29531,29570,29531,-4,-4638,-4635,-4640,-4640,-4635,-4640,-4646,-4651,-4640,-4635,-4646,-4635,-4640,-4635,-4640,-4640,-4645,-4635,-4624,-4640,-4635,-4640,-4629,
2016,12,28,12,09,16,31.25,4.80,24794,8509,22077,21360,21668,20680,21330,20680,20709,20680,20366,20366,20060,-3866,-3877,-3898,-3875,-3885,-3872,-3895,-3911,-3910,-3892,,-28953,14475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29086,28465,28970,28970,29009,29009,28970,29009,28970,29009,29009,0,-4640,-4640,-4646,-4640,-4635,-4635,-4640,-4640,-4646,-4646,-4640,-4640,-4640,-4640,-4640,-4640,-4640,-4640,-4640,-4645,-4640,-4645,-4635,
