Date,p15cm,p45cm,p75cm
01/01/2017,NaN,NaN,NaN
02/01/2017,NaN,NaN,NaN
03/01/2017,30,43,86
04/01/2017,34,40,86
05/01/2017,29,42,90
06/01/2017,32,48,96
07/01/2017,NaN,NaN,NaN
08/01/2017,NaN,NaN,NaN
09/01/2017,20,27,86
10/01/2017,26,30,71
11/01/2017,19,24,27
12/01/2017,28,36,32
13/01/2017,30,37,34
14/01/2017,NaN,NaN,NaN
15/01/2017,NaN,NaN,NaN
16/01/2017,31,38,38
17/01/2017,33,40,40
18/01/2017,30,37,38
19/01/2017,20,26,36
20/01/2017,25,34,36
21/01/2017,NaN,NaN,NaN
22/01/2017,NaN,NaN,NaN
23/01/2017,30,28,34
24/01/2017,30,38,38
25/01/2017,32,40,38
26/01/2017,32,40,40
27/01/2017,24,30,32
28/01/2017,NaN,NaN,NaN
29/01/2017,NaN,NaN,NaN
30/01/2017,NaN,NaN,NaN
31/01/2017,34,43,44
01/02/2017,NaN,NaN,NaN
02/02/2017,32,42,50
03/02/2017,NaN,NaN,NaN
04/02/2017,NaN,NaN,NaN
05/02/2017,NaN,NaN,NaN
06/02/2017,36,46,70
07/02/2017,30,40,60
08/02/2017,32,42,70
09/02/2017,40,20,80
10/02/2017,40,48,82
11/02/2017,NaN,NaN,NaN
12/02/2017,NaN,NaN,NaN
13/02/2017,30,36,32
14/02/2017,34,40,39
15/02/2017,34,36,32
16/02/2017,30,30,40
17/02/2017,36,42,40
18/02/2017,NaN,NaN,NaN
19/02/2017,NaN,NaN,NaN
20/02/2017,26,32,38
21/02/2017,30,38,34
22/02/2017,34,41,40
23/02/2017,38,48,42
