@relation faz-granjeiro-2016-completo-weka.filters.unsupervised.attribute.Remove-R1

@attribute temp_max numeric
@attribute temp_min numeric
@attribute air_moisture numeric
@attribute solar_radiation numeric
@attribute wind_speed numeric
@attribute preciptation numeric
@attribute evapotranspiration numeric

@data
32.3,22.2,82.4,15.9,86.4,0,3.4
31.4,22.2,82.8,20,86.4,0,4
31.8,23.7,83.9,19,86.4,0,3.9
31.8,21.3,81.6,21.7,86.4,0,4.2
32.3,22.2,82.2,19.2,86.4,0,3.9
33.4,23.6,78.9,19.2,86.4,6,4.1
32.3,22.9,83,20,86.4,0,4.1
32.1,21.9,83.3,19.5,86.4,0,3.9
32.8,22.4,83.8,21.1,86.4,0,4.2
31.6,24,85,12.8,86.4,5,2.9
32.2,23.4,89.1,12,86.4,0,2.6
32.2,23.2,84.8,19.5,86.4,0,4
32.6,23.4,84.8,19,86.4,0,3.9
32,24,85.2,16.5,86.4,0,3.5
31.9,23.5,83,17.4,86.4,0,3.6
32.8,23.8,81.6,16.9,86.4,0,3.6
31.6,23.2,82.2,21.2,86.5,0,4.2
32.7,22.4,82,17.5,69,0,3.6
32.5,21.8,83.4,20.1,52.5,0,4
32.5,22.2,83.1,19.1,41.7,0,3.8
32.2,22.8,81,14.5,43.5,0,3.1
32.5,22.9,83.5,21.5,39.9,0,4.3
32.2,23.6,85.6,16.7,34.5,0,3.4
32.4,21.6,79.2,21.2,74.2,0,4.2
32,20.6,80.1,18.1,63.4,0,3.6
33.1,21.8,78,21.6,68.8,0,4.3
33.7,21.5,76.9,21,65.2,0,4.2
32.8,20.7,79.3,18.8,70.6,0,3.8
32.1,20.6,78.5,20.6,67,0,4
32.2,21.4,78.9,19.2,79.7,0,3.9
32.4,22.4,77.6,17.6,107,0,3.8
33.5,21.6,75.6,20.7,59.8,0,4.2
32.4,22.5,79.7,15.9,83.3,0,3.4
33.7,21.8,76.1,20.8,85.2,0,4.3
32.6,23.8,76.9,20.7,108.7,0,4.4
31.6,23.1,76.2,19.1,114.2,0,4
32.7,24.2,70.6,20.8,103.3,0,4.5
33.5,23.5,71.5,15.2,66.9,0,3.4
32.4,21.3,74.6,17,101.5,0,3.7
34.1,19.9,71.8,20.8,79.7,0,4.3
33.9,19.9,72.3,20.8,88.8,0,4.3
33,21.3,73.3,21,90.6,0,4.3
32.7,21.4,74.9,21.2,95.9,0,4.3
34.2,21.4,75,17.8,83.3,0,3.9
32.3,21.5,74.9,18.8,85.2,0,3.9
32.5,23,76.5,19.2,96,0,4.1
28.2,23,88.9,8.1,32.6,0,1.8
32.8,22.8,79.9,20.5,76,0,4.2
30.4,21.8,85.3,12.8,41.7,0,2.7
29.6,23,83.3,10,54.3,0,2.3
31.6,23.1,78.1,21,88.7,0,4.2
30.9,23.3,77.1,18.8,125.1,0,4
32.5,23.9,76.3,20.8,112.4,0,4.4
32.8,22,79,19.7,87,0,4.1
32.4,22.9,77.3,20.1,88.8,0,4.2
34.4,22.2,75,21.2,103.3,0,4.5
33.3,23.1,72.2,21,92.3,0,4.5
31.6,21.5,81.4,16.8,59.8,0,3.4
31.1,20.7,81.7,17.8,63.3,0,3.5
32.1,21.2,81.2,18.6,63.4,0,3.7
31.2,23.8,76.3,19.3,106.8,0,4.1
33.7,21.9,73.3,20.7,67,0,4.3
31.7,19.5,78.1,21.4,76.1,0,4.1
33.6,21.6,74,18.6,86.9,0,4
34,24.1,71.9,16.4,99.6,0,3.9
32.9,21.7,70.9,21.2,112.3,0,4.5
32.9,21.4,70,21.3,90.4,0,4.5
32.3,22.7,73.5,21.4,72.5,0,4.4
32,21,75.7,21.3,116,0,4.4
33,23.5,74.5,21.7,105,0,4.6
34.8,19.2,73.5,21.2,94.2,0,4.5
33.5,20.5,74.3,19.9,99.6,0,4.2
33.9,21,70.5,21.2,119.6,0,4.6
32.6,20.3,75,20.8,92.4,0,4.3
33.6,20.1,73.3,20.6,94.2,0,4.3
34,23.4,71.5,17.3,105.1,0,4.1
33.4,23,69.7,21.7,114.2,0,4.8
31.8,23.4,74,21.9,128.6,0,4.7
32.8,21,73.6,22,94.2,0,4.5
32.2,21.5,79.1,19.8,94.2,0,4.1
32,21.6,79.2,22,88.7,0,4.4
31.6,20.9,78.8,21.1,116,0,4.3
32,21.2,74.3,20.7,108.8,0,4.4
31.5,23,74.1,18.4,114.2,0,4.1
31.1,22.8,69.6,22,123.2,0,4.7
31.4,20.7,75.2,20.1,94.2,0,4.1
31.6,22.3,78.9,20.4,88.8,0,4.2
32.6,21.4,80.6,20.4,79.7,0,4.2
31.4,24.3,78.4,18.7,112.4,0,4.1
31.6,23.1,75.4,18.5,106.9,0,4.1
31.6,22.9,75.6,21.7,90.5,0,4.5
31.9,20.6,79.4,21.9,107,0,4.4
31.4,24.9,77.1,18.8,103.2,0,4.1
32.1,22.4,76.9,19,86.9,0,4
31.4,25.2,76.1,15.8,103.3,0,3.7
32.4,24.6,71.2,21.7,155.9,0,5
32.1,23.9,71.8,21,125.1,0,4.7
34,21.7,72.1,20.9,83.3,0,4.5
31.4,22.2,71.8,21.5,150.3,0,4.7
31.1,23.7,72.7,20.4,166.8,0,4.6
32.5,21.3,74.2,21.6,116,0,4.6
33.4,21.2,73.9,21.2,126.8,0,4.6
33.2,24.6,74.6,21.2,146.8,0,4.9
32.1,24.4,72.7,21,155.9,0,4.8
33.5,23.7,69.5,21.4,159.5,0,5.1
32.1,24.1,72.8,21.9,148.6,0,4.9
33.2,23.5,72.8,21.6,134.1,0,4.9
32,24,73.5,21.9,135.9,0,4.8
31.8,24.3,73.2,21.9,141.3,0,4.9
32.5,23.5,71.8,22.1,126.9,0,4.9
31.3,23.6,72.1,21.6,132.4,0,4.8
32.3,22.9,71.7,22.6,139.6,0,5
32.3,24.1,73.4,21,172.2,0,4.9
31,23.2,82.9,16.9,86.9,0,3.6
31.7,24.5,74.2,22.8,136,0,5
30.9,24,73.4,22.7,172.2,0,5
32.1,23.9,72.5,22.8,170.4,0,5.1
32.4,24.8,76.3,20.1,134.2,0,4.6
32.2,24.4,78.3,19.5,123.2,0,4.4
31.6,24.7,77.6,18.1,105,0,4.1
31.8,24.3,72,19.7,108.7,0,4.5
31.8,21.6,75.6,20.9,88.7,0,4.4
32.1,21.6,77.3,20.7,101.4,0,4.4
31.7,24.5,79.1,21.8,105.1,0,4.7
32.2,24.3,76.3,22.6,95.9,0,4.8
31.3,23.1,74.3,20.1,105.1,0,4.4
31.6,21.4,75.1,18.3,85.1,0,3.9
31.3,23.2,74.5,17.8,101.4,0,4
30.9,24.5,75,21.4,90.5,0,4.6
32.1,22.9,78.3,21.1,70.6,0,4.4
32.4,24.5,75.7,23.4,96,0,5
31.6,24.8,72.6,19.4,146.9,0,4.6
32,24.2,74.1,21.1,108.8,0,4.6
32.5,21.5,77.6,17.7,85.1,0,3.9
32.3,22.6,74.4,22.4,132.3,0,4.9
33.8,23.2,68.6,22.4,112.4,0,5.1
33.5,23.3,71.4,22,106.9,0,4.9
33.5,22.1,77.2,21.5,90.4,0,4.6
32.9,22.9,77.8,21.2,61.6,0,4.5
31.9,21.6,80,18.5,57.9,0,3.9
32.5,21.8,78.4,15.8,65.2,0,3.5
32.9,20.8,75.6,21.4,108.8,0,4.6
32.5,24.7,71.9,19.5,168.6,0,4.7
33.6,24.7,67.2,22.1,186.7,0,5.5
33.5,24.2,68.6,18.4,163.1,0,4.7
32.6,24.8,74.5,16.9,137.8,0,4.1
32.8,23.7,72.6,20.2,135.9,0,4.7
34,23.9,69.8,22.6,177.5,0,5.4
33.5,24.8,69.4,22.7,170.4,0,5.4
33.4,23.3,71.2,21.9,135.9,0,5
32.9,24.1,75.8,18.3,112.3,0,4.2
33.1,25,75.7,23.6,126.9,0,5.2
31.7,25.2,76.2,20,117.7,0,4.5
33.7,25.2,76.2,22.5,119.7,0,5.1
31.6,25.4,75.2,18.2,143.2,0,4.3
33.1,25.3,71.6,21.9,152.4,0,5.1
32.9,25.1,73.2,22.7,117.8,0,5.1
33.6,24.9,74.4,18.9,134.2,0,4.5
32.5,25.2,73,20.3,170.4,0,4.9
31.8,25.1,70.9,18.3,159.6,0,4.5
32.4,24.2,74.1,23.6,125.1,0,5.1
31.9,23.7,77.5,20.9,90.6,0,4.5
32.9,24.5,74.5,18.8,114.2,0,4.4
32.7,25.5,71.5,22.5,154.2,0,5.2
33.6,25.4,69.5,20.4,159.5,0,5
33.8,24.2,70.5,20.4,150.5,0,4.9
33.7,25.1,71.3,19.9,161.4,0,4.9
33.1,25.1,69.7,22.5,163.1,0,5.3
32.4,25.5,72.1,22.1,175.8,0,5.2
32.6,25.3,72.6,18.4,183,0,4.6
32.1,25.5,72.6,19.7,183,0,4.8
32.3,25.6,76.6,21.8,148.7,0,4.9
30.8,25.4,79.2,12.7,136,0,3.2
32.2,24.4,75.9,21.6,125,0,4.8
32.5,25.2,74.9,19.8,116,0,4.5
32.2,23.3,76.3,20.9,92.4,0,4.5
32.6,21.5,77.6,21.8,101.5,0,4.6
32.3,24.1,76.7,17.5,114.2,0,4
32.4,21.7,77.5,19.7,96,0,4.2
31.6,22.1,81.7,16.6,83.2,0,3.6
32.4,23.7,78.3,22.1,99.6,0,4.7
32.3,24.4,76.2,20.3,114.2,0,4.5
32.5,25,74.4,18.9,94.2,0,4.3
32,23,77.3,21.2,86.9,0,4.5
32.5,24.1,74.5,21.9,101.5,0,4.8
32.7,25.4,74.5,23,117.8,0,5.1
33.6,25,75.6,22.2,92.4,0,4.9
33.2,24.2,75.1,18.7,97.8,0,4.3
32.9,24,74.6,18.7,117.9,0,4.3
33.3,25.5,72.9,18.8,117.8,0,4.5
32.8,23.7,72.9,17.6,94.2,0,4.1
33.1,22.3,77.5,17.4,81.6,0,3.9
32.2,25,76.3,21.4,114.2,0,4.7
32.4,24.4,75.5,19.1,105,0,4.3
32.5,24.7,74,21.1,106.8,0,4.7
33.6,24.6,73.9,19.8,128.7,0,4.6
33.1,25.3,73.8,19,108.6,0,4.4
33.5,23.2,75.6,22.4,70.6,0,4.8
32.7,22.2,80.2,19.7,68.8,0,4.1
32.5,22.2,80.2,15.4,76.1,0,3.4
32.8,24.2,76.9,21.5,76,0,4.6
32.7,22.8,79.4,16.8,63.4,0,3.7
32.5,24.8,76.8,22.2,81.5,0,4.7
33.2,25.5,75.9,20.3,88.6,0,4.5
32.5,23.4,77.3,20.7,70.6,0,4.4
32.2,25,75.4,19.5,94.1,0,4.4
32.5,25.5,73,17.3,88.6,0,4
30.9,24.5,77.5,15,58,0,3.3
31.2,22.6,79.2,11,63.4,0,2.6
32,24.3,79.8,14.2,70.6,0,3.3
33.2,25,76.7,19.1,90.6,0,4.3
32.5,25,76.6,17.6,85.1,0,4
32.4,24.2,75.7,9.6,65.2,0,2.5
33.1,24.4,75.7,18.1,108.8,0,4.2
32.7,25.4,78.2,18.4,94.2,0,4.2
33,24.7,78,16.1,99.6,0,3.8
33.3,25.6,73.9,16.6,134.1,0,4.1
33,25.1,77.1,13.8,65.2,0,3.3
33.9,24.5,78.4,16.5,79.7,0,3.8
32.7,25.6,77.1,17.2,94.2,0,4
33.9,26.1,74.8,20.8,134.2,0,4.9
33.8,24.9,74.6,19.2,94.2,0,4.4
31.8,23.5,80.3,16.9,68.8,0,3.7
33.3,24.7,74.1,18.2,97.7,0,4.2
