codigo_estacao,data_medicao,hora_medicao,temp_instantanea,umidade,pressao,velocidade_vento,direcao_vento,nebulosidade,temp_max_00h_temp_min_12h,precipitacao_12h
82397,2017-04-25,00,25.8,94,1,009.3,0.0,0,9,31.8,,
82397,2017-04-25,12,29.0,82,1,009.4,2.1,14,4,24.1,1.8
82397,2017-04-25,18,30.6,77,1,006.4,4.1,9,3,,
82397,2017-04-26,00,27.2,90,1,008.6,0.5,9,1,31.8,,
82397,2017-04-26,12,29.0,84,1,009.7,2.6,14,8,24.9,0.6
82397,2017-04-26,18,31.0,68,1,005.9,2.6,14,3,,
82397,2017-04-27,00,27.0,82,1,008.7,0.0,0,0,30.6,,
82397,2017-04-27,12,28.2,85,1,010.7,3.1,9,9,25.4,0.6
82397,2017-04-27,18,30.0,75,1,008.0,1.5,5,9,,
82397,2017-04-28,00,27.2,87,1,010.0,1.5,9,6,29.9,,
82397,2017-04-28,12,26.0,91,1,011.0,1.5,14,9,25.5,9.6
82397,2017-04-28,18,29.2,78,1,008.3,1.5,9,9,,
82397,2017-04-29,00,27.0,89,1,009.6,0.0,0,8,31.4,,
82397,2017-04-29,12,27.8,85,1,010.2,3.1,14,8,24.7,0.1
82397,2017-04-29,18,30.2,81,1,006.8,3.1,9,6,,
82397,2017-04-30,00,27.2,92,1,009.8,1.0,9,6,29.8,,
82397,2017-04-30,12,26.8,96,1,011.0,0.5,14,9,24.1,34.1
82397,2017-04-30,18,28.6,85,1,007.7,1.5,9,8,,
82397,2017-05-01,00,26.2,95,1,009.9,0.5,9,4,31.5,,
82397,2017-05-01,12,28.4,74,1,010.0,3.1,14,8,24.1,3.8
82397,2017-05-01,18,30.8,65,1,008.2,1.0,9,10,,
82397,2017-05-02,00,26.5,89,1,010.2,0.0,0,10,32.0,,
82397,2017-05-02,12,28.2,78,1,010.2,2.6,14,9,23.9,8.8
82397,2017-05-02,18,30.8,59,1,006.8,4.1,14,9,,
82397,2017-05-03,00,27.8,89,1,009.3,1.5,9,6,32.0,,
82397,2017-05-03,12,28.8,77,1,009.8,3.1,9,8,24.6,0.0
82397,2017-05-03,18,31.0,66,1,006.7,4.6,14,4,,
82397,2017-05-04,00,27.8,89,1,009.3,1.5,9,6,31.9,,
82397,2017-05-04,12,28.2,76,1,009.8,1.5,14,9,24.3,5.8
82397,2017-05-04,18,30.4,68,1,007.3,3.1,9,5,,
82397,2017-05-05,00,27.6,84,1,009.1,0.0,0,10,31.7,,
82397,2017-05-05,12,29.0,71,1,009.9,2.6,14,6,24.9,3.6
82397,2017-05-05,18,30.6,64,1,007.0,3.6,9,5,,
82397,2017-05-06,00,25.8,87,1,009.6,0.0,0,0,32.0,,
82397,2017-05-06,12,29.2,78,1,009.2,3.1,14,4,24.1,0.0
82397,2017-05-06,18,30.8,68,1,006.4,2.6,9,8,,
82397,2017-05-07,00,27.0,89,1,009.0,1.0,9,8,31.5,,
82397,2017-05-07,12,27.2,89,1,009.3,1.5,9,9,25.5,0.0
82397,2017-05-07,18,30.7,66,1,006.7,3.1,9,8,,
82397,2017-05-08,00,27.2,87,1,007.9,0.0,0,9,30.6,,
82397,2017-05-08,12,26.5,94,1,008.6,0.0,0,10,25.2,17.0
82397,2017-05-08,18,28.4,79,1,005.6,3.1,9,9,,
82397,2017-05-09,00,25.2,97,1,009.2,1.5,5,10,29.4,,
82397,2017-05-09,12,25.7,95,1,010.1,1.5,14,10,24.5,19.2
82397,2017-05-09,18,28.7,78,1,007.0,3.1,9,9,,
82397,2017-05-10,00,25.8,89,1,009.1,0.0,0,8,31.4,,
82397,2017-05-10,12,27.6,90,1,009.9,2.1,18,9,24.6,3.3
82397,2017-05-10,18,30.6,67,1,006.5,2.1,9,6,,
82397,2017-05-11,00,26.2,92,1,008.4,0.5,9,1,32.0,,
82397,2017-05-11,12,29.0,74,1,009.4,3.1,14,8,25.3,0.0
82397,2017-05-11,18,30.8,66,1,006.5,4.6,9,6,,
82397,2017-05-12,00,26.5,89,1,009.2,0.0,0,0,,,
82397,2017-05-12,12,29.4,74,1,010.5,3.6,9,6,25.1,2.6
