-400,2038,191,1593,-150,1545
-365,2159,103,1635,-324,1568
-439,2218,92,1709,-259,1595
-247,2253,299,1821,-300,1629
-272,2305,97,1830,-404,1699
-471,2425,93,1866,-260,1667
-361,2467,97,1943,-365,1728-363,2549,57,1943,-341,1733
-259,2508,301,2073,-289,1791
-402,2593,39,2027,-341,1814
-453,2651,179,2066,-159,1809
-293,2667,334,2162,-221,1864
-278,2728,163,2194,-400,1917
-466,2778,272,2225,-116,1923
-519,2853,159,2216,-158,1946
-240,2833,328,2346,-329,2040
-199,2864,237,2345,-436,2105
-233,2925,227,2413,-420,2141
-553,3033,99,2348,-109,2095
-433,3060,-58,2399,-400,2207
-260,3049,391,2510,-209,2228
-347,3149,-11,2512,-460,2280
-234,3163,60,2559,-503,2337
-459,3219,305,2572,-87,2314
-178,3202,389,2678,-298,2415
-223,3288,58,2677,-522,2461
-575,3404,-104,2645,-307,2435
-574,3439,-84,2674,-297,2460
-524,3415,266,2760,-57,2489
-220,3409,19,2799,-564,2632
-312,3414,-43,2800,-499,2634
-187,3399,405,2837,-226,2615
-166,3489,222,2950,-511,2694
-534,3602,-132,2895,-396,2710
-546,3657,-145,2960,-382,2741
-631,3718,3,3013,-122,2720
-534,3741,300,3103,-33,2753
-588,3786,82,3063,-109,2809
-566,3848,298,3214,-33,2835
-294,3847,459,3315,-172,2913
-207,3910,-12,3327,-644,3048
-538,4018,-188,3335,-449,3036
-496,4091,-184,3366,-540,3099
-70,4036,333,3530,-575,3183
-518,4192,-234,3448,-531,3182
-427,4261,-147,3525,-587,3222
-289,4200,532,3660,-182,3240
-750,4363,-46,3577,-91,3224
-631,2341,207,1002,-364,2192
-588,2100,238,1017,-292,1585
-514,2067,148,1006,-454,1410
-733,2097,145,987,-332,1150
-494,1981,276,1010,-315,1050
-701,2030,135,964,-331,1066
-743,2006,185,954,-233,1048
-461,1921,250,980,-386,1100
-444,1909,265,975,-367,1101
-683,1947,195,919,-229,1082
-673,1945,187,905,-227,1091
-636,1926,248,924,-237,1098
