when,module,battery,15cm,15cm_bias,45cm,45cm_bias,75cm,75cm_bias
2017-04-27T01:16:02.381Z,01,5.026083946228027,811,406,238,-145,641,211
2017-04-27T01:45:05.295Z,01,5.026083946228027,807,387,237,-141,638,202
2017-04-27T02:14:07.852Z,01,5.026083946228027,808,389,238,-140,636,201
2017-04-27T02:43:10.246Z,01,5.026083946228027,813,403,239,-148,636,207
2017-04-27T03:12:12.412Z,01,5.0036468505859375,804,392,235,-145,634,203
2017-04-27T03:41:14.304Z,01,5.0036468505859375,813,402,237,-143,637,203
2017-04-27T04:10:16.231Z,01,5.0036468505859375,806,410,238,-144,634,209
2017-04-27T04:39:18.370Z,01,5.0036468505859375,813,400,238,-143,635,205
2017-04-27T05:08:20.359Z,01,5.0036468505859375,802,407,238,-143,629,202
2017-04-27T05:37:22.237Z,01,5.0036468505859375,804,411,240,-143,629,209
2017-04-27T06:06:24.111Z,01,5.0036468505859375,798,391,239,-144,626,203
2017-04-27T06:35:26.041Z,01,5.0036468505859375,807,402,240,-143,628,204
2017-04-27T07:04:28.038Z,01,5.0036468505859375,796,391,240,-142,625,203
2017-04-27T07:33:30.013Z,01,4.98140811920166,800,385,241,-137,625,199
2017-04-27T08:02:32.067Z,01,4.98140811920166,796,389,241,-142,624,202
2017-04-27T08:31:33.727Z,01,4.98140811920166,834,414,241,-142,623,199
2017-04-27T09:00:36.020Z,01,4.98140811920166,850,404,243,-142,624,204
2017-04-27T09:29:40.027Z,01,4.98140811920166,862,427,243,-145,623,210
2017-04-27T09:58:50.600Z,01,4.98140811920166,868,426,242,-147,625,200
2017-04-27T10:28:11.055Z,01,5.0036468505859375,873,428,243,-148,624,204
2017-04-27T10:57:27.420Z,01,5.0036468505859375,872,425,241,-143,625,208
2017-04-27T11:26:37.856Z,01,5.0036468505859375,885,397,243,-136,621,196
2017-04-27T11:55:47.712Z,01,5.0036468505859375,890,405,244,-136,621,196
2017-04-27T12:24:58.735Z,01,5.0036468505859375,897,428,243,-144,621,202
2017-04-27T12:54:06.218Z,01,5.0036468505859375,901,437,246,-143,618,207
2017-04-27T13:23:14.409Z,01,5.0036468505859375,910,413,244,-138,621,199
2017-04-27T13:52:27.033Z,01,5.0036468505859375,916,406,244,-134,619,199
2017-04-27T14:21:37.722Z,01,5.0036468505859375,938,432,245,-134,624,204
2017-04-27T15:10:47.404Z,01,4.873116970062256,940,425,246,-138,619,203
2017-04-27T15:41:39.669Z,01,4.98140811920166,950,423,244,-132,622,204
2017-04-28T17:48:07.985Z,01,4.959366321563721,1127,483,265,-122,593,196
2017-04-28T18:17:44.643Z,01,4.959366321563721,1120,481,262,-121,586,195
2017-04-28T18:47:19.882Z,01,4.959366321563721,1124,472,264,-115,593,198
2017-04-28T19:16:54.662Z,01,4.959366321563721,1125,473,264,-121,590,195
2017-04-28T19:46:29.674Z,01,4.93751859664917,1122,482,266,-126,588,200
2017-04-28T20:15:58.594Z,01,4.93751859664917,1132,485,268,-123,587,193
2017-04-28T20:45:23.956Z,01,4.93751859664917,1136,477,268,-121,584,197
2017-04-28T21:14:47.802Z,01,4.93751859664917,1139,469,267,-125,587,194
2017-04-28T21:44:11.216Z,01,4.915863037109375,1141,463,264,-117,583,194
2017-04-28T22:13:34.434Z,01,4.915863037109375,1150,470,266,-122,581,192
2017-04-28T22:42:57.398Z,01,4.915863037109375,1152,494,266,-114,578,189
2017-04-28T23:12:19.899Z,01,4.915863037109375,1156,479,267,-107,581,193
2017-04-28T23:41:41.921Z,01,4.915863037109375,1162,482,265,-112,580,193
2017-04-29T00:11:03.460Z,01,4.8943963050842285,1163,477,266,-121,575,193
2017-04-29T00:40:24.765Z,01,4.8943963050842285,1159,471,266,-120,573,190
2017-04-29T01:09:46.134Z,01,4.8943963050842285,1172,481,268,-116,575,191
2017-04-29T01:39:07.296Z,01,4.8943963050842285,1178,480,269,-119,576,192
2017-04-29T02:08:28.324Z,01,4.8943963050842285,1176,486,269,-120,574,192
2017-04-29T02:37:49.678Z,01,4.8943963050842285,1185,483,269,-119,575,190
2017-04-29T03:07:10.674Z,01,4.873116970062256,1176,480,267,-122,573,188
2017-04-29T03:36:31.923Z,01,4.873116970062256,1185,469,268,-120,573,181
2017-04-29T04:05:53.308Z,01,4.873116970062256,1187,476,267,-114,570,185
2017-04-29T04:35:14.407Z,01,4.873116970062256,1195,506,268,-119,567,191
2017-04-29T05:04:35.283Z,01,4.873116970062256,1194,495,269,-120,568,190
2017-04-29T05:33:55.807Z,01,4.873116970062256,1192,475,270,-116,568,185
2017-04-29T06:03:16.189Z,01,4.873116970062256,1202,463,273,-122,570,192
2017-04-29T06:32:36.165Z,01,4.852021217346191,1203,495,270,-122,569,185
2017-04-29T07:01:56.050Z,01,4.852021217346191,1207,470,270,-119,569,183
2017-04-29T07:31:15.859Z,01,4.852021217346191,1214,497,271,-119,567,191
2017-04-29T08:00:35.480Z,01,4.852021217346191,1205,483,269,-118,562,188
2017-04-29T08:29:55.041Z,01,4.852021217346191,1222,501,272,-119,565,185
2017-04-29T08:59:14.669Z,01,4.852021217346191,1222,495,272,-118,563,188
2017-04-29T09:28:35.169Z,01,4.852021217346191,1218,471,272,-120,566,182
2017-04-29T09:57:56.529Z,01,4.852021217346191,1225,493,276,-118,565,186
2017-04-29T10:27:19.271Z,01,4.852021217346191,1221,497,276,-116,565,189
2017-04-29T10:56:54.124Z,01,4.852021217346191,1228,482,277,-116,567,187
2017-04-29T11:26:38.260Z,01,4.852021217346191,1208,499,278,-125,566,192
2017-04-29T11:56:26.530Z,01,4.873116970062256,1198,486,277,-122,563,189
2017-04-29T12:26:18.304Z,01,4.873116970062256,1189,496,279,-127,566,189
2017-04-29T12:56:10.887Z,01,4.873116970062256,1177,458,278,-112,565,185
2017-04-29T13:26:12.338Z,01,4.8943963050842285,1171,482,280,-122,563,190
2017-04-29T13:56:11.721Z,01,4.8943963050842285,1169,480,282,-122,566,190
2017-04-29T14:26:15.552Z,01,4.8943963050842285,1160,452,280,-115,566,180
2017-04-29T14:56:20.619Z,01,4.8943963050842285,1163,470,281,-120,564,191
2017-04-29T15:26:29.438Z,01,4.8943963050842285,1155,452,280,-115,564,181
2017-04-29T15:56:32.924Z,01,4.8943963050842285,1156,471,281,-114,564,187
2017-04-29T16:26:38.980Z,01,4.8943963050842285,1148,467,280,-118,567,190
2017-04-29T16:57:33.271Z,01,4.873116970062256,1132,455,279,-118,566,182
2017-04-29T17:27:27.893Z,01,4.8943963050842285,1117,452,279,-118,561,181
2017-04-29T17:57:14.819Z,01,4.8943963050842285,1120,472,282,-121,564,186
2017-04-29T18:26:53.506Z,01,4.873116970062256,1116,459,281,-117,562,188
2017-04-29T18:56:26.077Z,01,4.873116970062256,1116,461,282,-118,562,186
2017-04-29T19:25:57.404Z,01,4.873116970062256,1117,477,283,-125,560,191
2017-04-29T19:55:25.043Z,01,4.873116970062256,1119,463,279,-118,559,186
2017-04-29T20:24:49.424Z,01,4.852021217346191,1138,473,282,-117,560,187
2017-04-29T20:54:11.577Z,01,4.852021217346191,1143,473,279,-115,557,187
2017-04-29T21:23:33.309Z,01,4.852021217346191,1153,475,280,-117,558,186
2017-04-29T21:52:54.631Z,01,4.831107139587402,1161,476,281,-115,558,187
2017-04-29T22:22:16.036Z,01,4.831107139587402,1163,458,279,-120,557,180
2017-04-29T22:51:37.168Z,01,4.831107139587402,1174,481,280,-118,556,190
2017-04-29T23:20:57.833Z,01,4.831107139587402,1179,494,278,-123,553,188
2017-04-29T23:50:18.708Z,01,4.831107139587402,1184,486,278,-115,552,185
2017-04-30T00:19:39.195Z,01,4.831107139587402,1183,492,278,-119,551,184
2017-04-30T00:48:59.613Z,01,4.810372829437256,1197,487,280,-119,553,184
2017-04-30T01:18:19.979Z,01,4.810372829437256,1201,484,281,-120,553,186
2017-04-30T01:47:40.240Z,01,4.810372829437256,1210,486,282,-120,553,184
2017-04-30T02:17:00.079Z,01,4.810372829437256,1210,488,280,-120,551,189
2017-04-30T02:46:19.609Z,01,4.810372829437256,1210,497,279,-128,547,187
2017-04-30T03:15:38.908Z,01,4.810372829437256,1223,487,280,-121,550,181
2017-04-30T03:44:57.930Z,01,4.789815425872803,1218,461,280,-118,549,176
2017-04-30T04:14:16.955Z,01,4.789815425872803,1229,478,282,-121,550,184
2017-04-30T04:43:35.844Z,01,4.789815425872803,1228,487,281,-125,549,180
2017-04-30T05:12:54.493Z,01,4.789815425872803,1233,470,282,-122,549,175
2017-04-30T05:42:13.276Z,01,4.789815425872803,1244,489,284,-128,549,182
