when,module,battery,raining,rain,temperature
2017-04-25T12:57:22.436Z,05,4.294952392578125,false,915,-127.0
2017-04-25T12:57:33.137Z,05,4.215416431427002,false,943,-127.0
2017-04-25T12:57:39.689Z,05,4.169093132019043,false,933,27.6875
2017-04-25T12:57:52.547Z,05,4.360775470733643,false,915,27.6875
2017-04-25T12:58:00.230Z,05,4.360775470733643,false,922,27.6875
2017-04-25T12:58:13.090Z,05,4.327613830566406,false,920,27.6875
2017-04-25T12:58:18.609Z,05,4.377547740936279,false,920,27.6875
2017-04-25T12:58:30.390Z,05,4.344130992889404,false,924,27.625
2017-04-25T12:58:38.234Z,05,4.311221122741699,false,923,85.0
2017-04-25T12:58:52.206Z,05,4.377547740936279,false,925,27.6875
2017-04-25T12:59:06.936Z,05,4.360775470733643,false,925,27.6875
2017-04-25T12:59:19.801Z,05,4.344130992889404,false,928,27.6875
2017-04-25T12:59:31.143Z,05,4.1998610496521,false,929,27.6875
2017-04-25T12:59:42.488Z,05,4.123776912689209,false,958,27.6875
2017-04-25T12:59:53.825Z,05,4.311221122741699,false,933,27.6875
2017-04-25T13:00:05.163Z,05,4.311221122741699,false,942,27.6875
2017-04-25T13:00:16.503Z,05,4.278805732727051,false,941,27.6875
2017-04-25T13:00:27.842Z,05,4.360775470733643,false,938,27.75
2017-04-25T13:00:39.181Z,05,4.138772010803223,false,925,27.75
2017-04-25T13:00:50.520Z,05,4.344130992889404,false,948,27.75
2017-04-25T13:00:55.781Z,05,4.294952392578125,false,950,-127.0
2017-04-25T13:01:07.560Z,05,4.311221122741699,false,947,-127.0
2017-04-25T13:01:18.052Z,05,4.311221122741699,false,946,-127.0
2017-04-25T13:01:30.273Z,05,4.278805732727051,false,946,-127.0
2017-04-25T13:01:40.955Z,05,4.294952392578125,false,947,-127.0
2017-04-25T13:01:51.639Z,05,4.2468743324279785,false,949,-127.0
2017-04-25T13:02:00.149Z,05,4.278805732727051,false,955,-127.0
2017-04-25T13:02:12.360Z,05,4.344130992889404,false,953,-127.0
2017-04-25T13:02:23.049Z,05,4.2468743324279785,false,947,-127.0
2017-04-25T13:02:30.262Z,05,4.294952392578125,false,954,27.8125
2017-04-25T13:02:43.133Z,05,4.411481857299805,false,951,27.8125
2017-04-25T13:02:54.478Z,05,4.26278018951416,false,953,27.875
2017-04-25T13:03:39.917Z,05,4.231086730957031,false,961,28.0
2017-04-25T13:04:02.641Z,05,4.377547740936279,false,917,28.0
2017-04-25T13:04:13.980Z,05,4.344130992889404,false,917,28.0625
2017-04-25T13:04:25.323Z,05,4.231086730957031,false,965,28.0625
2017-04-25T13:05:10.760Z,05,4.327613830566406,false,950,28.1875
2017-04-25T13:06:41.661Z,05,4.294952392578125,false,968,28.25
2017-04-25T13:07:27.103Z,05,4.231086730957031,false,991,28.3125
2017-04-25T13:11:14.423Z,05,4.138772010803223,false,1004,28.1875
2017-04-25T13:11:59.871Z,05,4.215416431427002,false,1004,28.1875
2017-04-25T13:12:45.329Z,05,4.153877258300781,false,1004,28.1875
2017-04-25T13:13:30.792Z,05,4.138772010803223,false,1004,28.25
2017-04-25T13:14:16.238Z,05,4.138772010803223,false,1004,28.25
2017-04-25T13:15:01.689Z,05,4.231086730957031,false,1004,28.25
2017-04-25T13:15:13.038Z,05,4.231086730957031,false,1004,28.4375
2017-04-25T13:15:24.385Z,05,4.184420585632324,false,1004,28.5
2017-04-25T13:15:35.749Z,05,4.153877258300781,false,1004,28.4375
2017-04-25T13:15:47.091Z,05,4.215416431427002,false,1004,28.375
2017-04-25T13:15:58.437Z,05,4.215416431427002,false,1004,28.3125
2017-04-25T13:16:09.792Z,05,4.26278018951416,false,1004,28.25
2017-04-25T13:16:21.139Z,05,4.231086730957031,false,1004,28.125
2017-04-25T13:16:32.485Z,05,4.169093132019043,false,1004,28.0625
2017-04-25T13:16:43.831Z,05,4.153877258300781,false,1004,28.0625
2017-04-25T13:16:55.178Z,05,4.215416431427002,false,1004,28.0
2017-04-25T13:17:06.535Z,05,4.123776912689209,false,1004,27.9375
2017-04-25T13:17:17.867Z,05,4.153877258300781,false,1004,27.9375
2017-04-25T13:17:29.227Z,05,4.153877258300781,false,1004,27.875
2017-04-25T13:17:40.573Z,05,4.153877258300781,false,1004,27.875
2017-04-25T13:17:51.921Z,05,4.138772010803223,false,1004,27.875
2017-04-25T13:18:03.263Z,05,4.26278018951416,false,1004,27.8125
2017-04-25T13:18:14.619Z,05,4.184420585632324,false,1004,27.8125
2017-04-25T13:18:25.960Z,05,4.169093132019043,false,1004,27.8125
2017-04-25T13:18:37.320Z,05,4.123776912689209,false,1004,27.8125
2017-04-25T13:18:48.662Z,05,4.1998610496521,false,1004,27.8125
2017-04-25T13:19:00.023Z,05,4.123776912689209,false,1004,27.8125
2017-04-25T13:19:11.359Z,05,4.123776912689209,false,1004,27.8125
2017-04-25T13:19:22.715Z,05,4.231086730957031,false,1004,27.8125
