-361,1630,-555,2256,-296,1213
-407,1725,-548,2285,-288,1223
-393,1731,-539,2312,-289,1228
-387,1766,-546,2342,-300,1236
-398,1792,-546,2369,-312,1242
-406,1825,-542,2397,-315,1253
-402,1855,-543,2422,-314,1264
-398,1883,-542,2449,-312,1276
-403,1910,-552,2483,-315,1289
-400,1936,-551,2509,-313,1302
-403,1970,-552,2538,-312,1312
-405,2000,-554,2566,-316,1325
-409,2035,-559,2589,-312,1340
-411,2068,-555,2617,-308,1353
-410,2105,-545,2645,-311,1367
-408,2132,-549,2671,-308,1380
-413,2160,-551,2690,-306,1393
-406,2178,-561,2712,-304,1404
-415,2219,-548,2721,-302,1415
-369,2244,-545,2736,-304,1426
-232,2265,-544,2736,-297,1436
-414,2266,-535,2727,-298,1444
-230,2284,-536,2754,-297,1447
-168,2336,-542,2804,-293,1456
-438,2403,-557,2855,-297,1467
-439,2468,-554,2889,-298,1479
-427,2509,-557,2929,-304,1494
-432,2546,-553,2976,-306,1506
-432,2578,-557,3015,-305,1515
-443,2645,-553,3055,-308,1532
-429,2661,-560,3090,-304,1542
-440,2709,-564,3128,-302,1556
-430,2756,-564,3165,-304,1570
-438,2824,-574,3208,-303,1584
-423,2858,-569,3244,-307,1600
-410,2889,-573,3282,-301,1617
-435,2942,-571,3318,-309,1633
-444,2983,-579,3360,-300,1647
-448,3042,-591,3399,-308,1664
-452,3070,-589,3439,-303,1683
-1329,6286,-843,6346,-100,5197
-1164,7048,-1628,7595,-1030,6142
-1445,7065,-1278,7508,-281,5963
-1395,7151,-1480,7544,-739,6006
