Date,d15cm_unified,d45cm_unified,d75cm_unified
2017-04-25 16:00:00.000,NaN,NaN,NaN
2017-04-25 17:00:00.000,802.867556177504,895.24055732108,811.561599884502
2017-04-25 18:00:00.000,784.004867759195,872.826969144018,807.875222353766
2017-04-25 19:00:00.000,765.365761597036,850.390200211096,813.485379904935
2017-04-25 20:00:00.000,753.377447227626,828.754518000162,808.04158310258
2017-04-25 21:00:00.000,748.66283589703,808.167080078888,800.229788950274
2017-04-25 22:00:00.000,745.874061463427,791.329224309813,792.233134826061
2017-04-25 23:00:00.000,742.456339869454,777.579955431311,785.101630024321
2017-04-26 00:00:00.000,743.06547158572,768.214625999818,781.471801342523
2017-04-26 01:00:00.000,739.644894645108,759.234646860918,775.216143552153
2017-04-26 02:00:00.000,736.892380253365,751.60366620371,770.672293207506
2017-04-26 03:00:00.000,736.415852133649,747.398590087518,766.114138723865
2017-04-26 04:00:00.000,735.758992710104,741.337810788708,761.176439924956
2017-04-26 05:00:00.000,733.539402708539,735.85372039578,758.234044228242
2017-04-26 06:00:00.000,733.542551272576,727.455889289143,751.459511819112
2017-04-26 07:00:00.000,732.909489588363,723.671669770768,746.584985372275
2017-04-26 08:00:00.000,733.709902941253,723.381989885386,744.671294420254
2017-04-26 09:00:00.000,734.264000214345,721.624300911809,740.949771444587
2017-04-26 10:00:00.000,721.870945488422,725.087635587257,738.261898673523
2017-04-26 11:00:00.000,710.722760357073,723.679489041567,734.511766164385
2017-04-26 12:00:00.000,697.820727605909,721.985412955601,712.666984449807
2017-04-26 13:00:00.000,688.749807883391,720.189057238085,691.211768692312
2017-04-26 14:00:00.000,679.283366236193,717.311323709493,668.818202131004
2017-04-26 15:00:00.000,669.971883296976,714.983654194538,648.057158964866
2017-04-26 16:00:00.000,661.068602145437,709.253156956517,632.914953276853
2017-04-26 17:00:00.000,658.652088235439,702.995158604079,625.201985562043
2017-04-26 18:00:00.000,657.938574987304,699.423793153984,621.440472628955
2017-04-26 19:00:00.000,659.13747806418,692.581842223871,618.794865471376
2017-04-26 20:00:00.000,665.65831023135,689.345319587974,615.484511349438
2017-04-26 21:00:00.000,673.266891368312,683.633163171495,614.766752746723
2017-04-26 22:00:00.000,680.56959058068,679.633228434423,612.312067313982
2017-04-26 23:00:00.000,687.122244938078,676.762497819829,609.517193247247
2017-04-27 00:00:00.000,693.935464286373,674.908385276928,606.95987879045
2017-04-27 01:00:00.000,698.510899205392,672.633355791028,606.901547754013
2017-04-27 02:00:00.000,703.2462792477,671.833572472867,605.019187551352
2017-04-27 03:00:00.000,707.448214193781,669.925384242418,604.302092213545
2017-04-27 04:00:00.000,711.878202075727,669.259634897958,603.553264252709
2017-04-27 05:00:00.000,714.882961503457,668.225114556371,603.640148672549
2017-04-27 06:00:00.000,717.488255259545,667.606591500917,600.661376358994
2017-04-27 07:00:00.000,720.540585803689,667.715313417631,600.33024960401
2017-04-27 08:00:00.000,723.776377461411,666.503372554142,600.812907868646
2017-04-27 09:00:00.000,735.740839509016,666.567419614089,599.285849927856
2017-04-27 10:00:00.000,743.734049699568,666.415444119022,600.288794490718
2017-04-27 11:00:00.000,746.459603177091,664.776467062709,600.04165089651
2017-04-27 12:00:00.000,751.489988641962,663.955452572533,598.7954630127
2017-04-27 13:00:00.000,759.364554169514,662.328332496005,599.966114457016
2017-04-27 14:00:00.000,773.450908114667,678.288535216749,598.81764532752
2017-04-27 15:00:00.000,780.485580692407,686.446733354012,611.990495751754
2017-04-27 16:00:00.000,786.618197665112,696.124472681123,620.477416145714
2017-04-27 17:00:00.000,793.143756373919,706.987039920121,634.48237490575
2017-04-27 18:00:00.000,800.092600393338,718.318920265907,646.390809385336
2017-04-27 19:00:00.000,807.496577785969,728.550298027164,658.315453436567
2017-04-27 20:00:00.000,815.392563881517,735.341959986281,670.400772873783
2017-04-27 21:00:00.000,823.823360489896,737.760863547077,682.666769574468
2017-04-27 22:00:00.000,832.838820451846,737.322186025414,695.125239024797
2017-04-27 23:00:00.000,842.497128847029,735.742188352163,707.786696170482
2017-04-28 00:00:00.000,852.866132265321,733.818737096345,720.660179996237
2017-04-28 01:00:00.000,864.024379579274,731.798461252006,733.752465501324
2017-04-28 02:00:00.000,876.060976342459,729.745279662771,747.06707401993
2017-04-28 03:00:00.000,889.071970300953,727.676527994437,760.603103722726
2017-04-28 04:00:00.000,903.147561270835,725.598379185903,774.353912455414
2017-04-28 05:00:00.000,918.33607282299,723.513855411954,788.305742136703
2017-04-28 06:00:00.000,934.551740814787,721.424750856209,802.436461565657
2017-04-28 07:00:00.000,951.362631064358,719.332234393845,816.714716481817
2017-04-28 08:00:00.000,967.619307328016,717.237108221752,831.099885563711
2017-04-28 09:00:00.000,981.296265011299,715.139943280844,845.543289055772
2017-04-28 10:00:00.000,990.713357936152,713.041157709837,859.990992605714
2017-04-28 11:00:00.000,996.399381282953,710.941065052329,874.388211537882
2017-04-28 12:00:00.000,1000.17897838047,708.839905153942,888.684764251324
2017-04-28 13:00:00.000,1003.31090294369,706.737864645818,902.840442291958
2017-04-28 14:00:00.000,1006.27878040337,704.635090915557,916.82890405136
2017-04-28 15:00:00.000,1009.21294706444,702.531701871826,930.639033591557
2017-04-28 16:00:00.000,1012.14096384427,700.427792916181,944.273562289945
2017-04-28 17:00:00.000,1015.06776451194,698.323442015513,957.745678189454
2017-04-28 18:00:00.000,1010.16772736085,692.953890096537,965.147238523693
2017-04-28 19:00:00.000,1003.32135825023,687.384753848571,966.28203870587
