when,d15cm_modulo1,d45cm_modulo1,d75cm_modulo1,d15cm_modulo2,d45cm_modulo2,d75cm_modulo2,d15cm_modulo3,d45cm_modulo3,d75cm_modulo3,d15cm_modulo4,d45cm_modulo4,d75cm_modulo4,wetness_modulo5,temperature_modulo5
2017-04-25 16:00:00.000,1214.55230521045,660.848802086991,752.744191666081,847.519645598655,844.096525009323,1163.67340441999,724.418917882863,823.791153284165,604,556.670805107631,1398,777.012415322892,1023,27.6875
2017-04-25 17:00:00.000,1169.82064235219,590.700725236339,755.779979278962,813.995622763833,812.262581246244,1145.12691338696,699.982547082108,798.31781962854,597.670545092865,543.728564341634,1397.58571507315,763.899994487938,1023,27.875
2017-04-25 18:00:00.000,1128.23391734743,530.136221669454,752.380460864404,793.239051341459,788.239051341458,1135.29478996676,682.822768536349,779.469742818165,599.059077154551,531.449769271124,1392.0414743926,754.224884635562,1023,28.0625
2017-04-25 19:00:00.000,1094.49494307946,484.989886158928,753.149494307946,779.522835041167,772.614175205836,1163.22835041167,667.208197637338,762.829017401071,604.620819763734,519.807996318659,1379.40685398742,746.802284662474,1023,28.2678506575689
2017-04-25 20:00:00.000,1075.50796864322,448.625499658312,752.796812542711,777.533594394179,756.134377576716,1137.26875515343,657.169848690203,746.679394760814,605.660302619593,509.329121553482,1363.10549540464,738.329121553482,1023,28.4375
2017-04-25 21:00:00.000,1059.13575429542,416.633520045314,744.090502863616,781.478901042185,743.281648436723,1118.32384635235,655,730.400015365398,607.620004609619,509.272722256412,1343.00002758973,730.727277743588,1023,28.625
2017-04-25 22:00:00.000,1042.08351091962,387.78287160898,736.983297816075,785.003374535421,731.498312732289,1099.74915636614,657.5097414157,718.922068674403,607,508.013102215881,1331.34206814392,725.00655110794,1023,28.6875
2017-04-25 23:00:00.000,1028.23881295836,360.522374083279,732.079604319453,786.526344622182,724.473655377818,1084.94731075564,659,708.196485445554,608.560702910889,502.838424011837,1323.22561600789,715.306404001973,1023,28.75
2017-04-26 00:00:00.000,1026.14360141913,345.714800982474,729.000400764147,791.724330684179,722,1082.34598410508,660.611803027946,698.164590916163,607.670818167675,501.72304336649,1315.21565306808,709.55391326702,1023,28.8125
2017-04-26 01:00:00.000,1009.75797016596,326.550965193621,721.58599005532,790,716.843488067162,1072.13261605037,661.664087312222,689.007738063335,603.328174624444,501.50658963111,1311.49341036889,704.493410368889,1023,28.75
2017-04-26 02:00:00.000,998.82716893432,314.64198058395,719.82716893432,792.606063793127,712.696968103437,1067.09090431031,663.717107450601,681.848677648197,602.697355296394,496.431812706872,1303.86362541374,694.647719060307,1023,28.7453591745856
2017-04-26 03:00:00.000,997.653703519931,305.317129399914,711.663425879983,794.682827478005,712.36565495601,1059.46261982404,664.229791279246,676.148956396232,606.310626162261,493.63038651745,1303.2607730349,688.36961348255,1023,28.6875
2017-04-26 04:00:00.000,990.7861981379,291.589648603425,708.39309906895,793.668464151754,708,1051.67924906228,665.175850263096,670.879251315481,603,497.232117497508,1300.307153001,682.614306001994,1023,28.5800070413238
2017-04-26 05:00:00.000,974.599476234048,284.066317489365,703.599476234048,797.963010022105,705,1049.30867334807,667,668.244705597811,604.632941603283,497.265089186069,1291.12248513566,677.24497027131,1023,28.5
2017-04-26 06:00:00.000,978.275499643153,279.403785561351,698.743428163603,795.120852424272,704.840639318204,1045.04117208337,665.137387970723,663.274775941445,594.343469926807,498.908679807786,1265.45660096107,667.456600961069,1023,28.4375
2017-04-26 07:00:00.000,966.609190495045,272.011488118806,692.804595247522,793.872013114174,701.74880524567,1035.99522098268,666.985427627994,663,597.970855255988,506.820564133821,1262.94018804461,660.299059776965,1023,28.3407309450047
2017-04-26 08:00:00.000,970.017378627124,268.336229771187,692.008689313562,797.389315045183,701.221369909634,1034.22136990963,668.360090376889,658.919728869332,599.360090376889,502,1271.02777280705,655.138864035234,1023,28.25
2017-04-26 09:00:00.000,967.919550201799,262.810337348651,687.540224899101,798.595841559454,700.595841559454,1030.21247532164,667.094753676816,655.620985292734,599.094753676816,506,1272.10276439528,647.977659914069,1023,28.1875
2017-04-26 10:00:00.000,956.635381670643,258.423587780429,684.211793890214,795.92760192592,699.171040770368,1025.92760192592,668,652.426491971924,603.431344037435,462.716005369242,1297,640.842225205134,1023,28.0625
2017-04-26 11:00:00.000,939.20220073645,257.505610642597,680.337073761732,785.507173833117,699.246413083441,1026.07735513907,663.289975789976,650,599.644987894988,450.698071257665,1291.94967854294,632.798714171777,1023,28
2017-04-26 12:00:00.000,918.529063250963,257.603202561778,675.396797438223,769.362220350649,698.409444912338,1022,659.180045351474,648.204988662132,602.590022675737,436.936587395552,1287.19023781335,623.936587395552,1023,27.9375
2017-04-26 13:00:00.000,899.964857442487,256,673.192971488497,769.202882270808,697,1017.00480378468,651,645.230559477085,601.230559477085,432.075034506161,1285.62482746919,622.549792963031,1023,27.875
2017-04-26 14:00:00.000,873.248195382588,250.390061057059,672.078012211412,759.59461040685,695.864870135617,1016.86487013562,647.517452126095,646.482547873905,604.758726063048,433.681851565445,1279,615.159074217278,1023,27.900050670494
2017-04-26 15:00:00.000,864.601500543456,251.866333212565,672,745.91593562077,693.61062374718,1019.95796781039,639.275426068084,644.483049287944,600.483049287944,427.236545254219,1272.44806107349,614.763454745781,1023,27.9399047081369
2017-04-26 16:00:00.000,843.197729771789,246.148297328842,669.098864885895,739.64905102118,688.026423468229,1011.70189795764,631.990763151173,642.738453938966,603.747690787793,427.08144707707,1261.42987046051,607.837105845859,1023,28.053460808257
