Date,d15cm_unified,d45cm_unified,d75cm_unified,temp_med,temp_max,temp_min,umid_med,umid_max,umid_min,pto_orvalho_med,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 00:00:00.000,763.229838570182,832.041214928053,802.646905578063,29.1,31.7,26.6,67.375,76,54,22.3,23.6,21,99.795,999.6,996.8,3.7875,103,7.7375,10.259,0.2,10.5756032077661
2017-04-26 00:00:00.000,702.982342061323,719.026735119678,697.521291862833,27.7041666666667,31.9,25.6,73.75,83,52,22.4791666666667,24.2,20.2,99.89375,1000.9,996.6,3.49583333333333,107.5,6.95833333333333,19.89215,0,8.33728859916242
2017-04-27 00:00:00.000,757.680657038747,688.064043247943,623.208841601968,27.425,30.7,25.6,77.5,87,65,23.0875,26.4,21.4,99.9658333333333,1002.3,998,3.17916666666667,108.291666666667,6.45,18.178175,1,7.08314828394539
2017-04-28 00:00:00.000,965.692584375343,707.46628380729,869.361673644355,28.2583333333333,31.9,25.7,75.1666666666667,86,60,23.3333333333333,24.5,22.3,99.9620833333333,1001.4,997.7,3.56666666666667,109.416666666667,7.44166666666667,23.18709,0,8.25908028038184
2017-04-29 00:00:00.000,1012.86982783332,661.8477085509,995.574056532544,27.9166666666667,32.1,25.3,74.1666666666667,88,57,22.7458333333333,24.1,21.2,99.9591666666667,1001.3,997.5,4.15789473684211,122.210526315789,8.90526315789474,21.239133,2.2,8.37017700328925
2017-04-30 00:00:00.000,963.724240165192,656.212151906379,1067.27878081054,26.6291666666667,29.7,23.5,82.6666666666667,92,67,23.3875,25,21.9,100.05375,1002.4,998.6,2.28333333333333,120.083333333333,5.87826086956522,12.73152,8.4,5.21289225841552
2017-05-01 00:00:00.000,899.190213247274,760.96505610047,1172.30101016503,27.4916666666667,31.3,24.2,72.7916666666667,91,52,21.9541666666667,23.5,19.3,100.030833333333,1001.8,998.3,1.87916666666667,123.666666666667,4.64583333333333,19.75147,0,8.55364944817235
2017-05-02 00:00:00.000,908.150717685778,833.218198351476,1318.01740913314,27.0541666666667,32.1,23.3,76.75,92,56,22.4583333333333,24,20.3,99.9941666666667,1001.8,997.4,2.85416666666667,110.416666666667,6.39583333333333,17.722651,3,7.15223138286635
2017-05-03 00:00:00.000,901.052240649434,843.462261655104,1492.16656013659,27.6958333333333,31.7,24.8,70,80,54,21.6416666666667,24.8,19.4,99.9270833333333,1000.9,997.6,3.04166666666667,115.833333333333,7.25,20.25459,0,9.46709029298235
2017-05-04 00:00:00.000,895.788657046635,837.267820150992,1346.25499710583,26.9166666666667,31,23.3,77.5,93,60,22.4875,23.9,20.5,99.91875,1001,996.8,3.12083333333333,117.125,7.76666666666667,19.454548,17.4,6.94897894306431
2017-05-05 00:00:00.000,939.871354417764,763.223762247429,1384.26191190669,27.2875,31.6,24.1,76.2083333333333,92,59,22.5666666666667,24,20.9,99.9395833333333,1000.9,997.7,3.2,107.166666666667,6.875,21.878706,1.4,7.52123172038607
2017-05-06 00:00:00.000,982.717436672744,732.032059751319,1508.95820298134,27.5375,32.2,23.8,71.4583333333333,84,56,21.7583333333333,24.1,19.5,99.8870833333334,1001.1,997.1,2.625,155.458333333333,5.82916666666667,22.56734,0,9.08499069164128
2017-05-07 00:00:00.000,952.129731700335,662.14769318165,1629.19702146796,27.525,32.2,25.5,77.4166666666667,89,54,23.075,25.1,21.2,99.8645833333333,1000.7,996.6,3.4375,106.916666666667,7.25,16.62843,0,7.09108210766364
2017-05-08 00:00:00.000,1040.96547896587,577.726894136478,1735.59005513419,26.1041666666667,30,24.2,85,93,68,23.3625,25.5,22.1,99.83875,999.9,996.6,2.77083333333333,103.916666666667,6.69583333333333,10.87466,9.8,4.37166098604637
2017-05-09 00:00:00.000,1113.91802470757,601.980503031478,1827.92746038973,25.7454545454545,26.7,24.7,82.2727272727273,92,78,22.4818181818182,23.6,21.9,99.8909090909091,1000.3,997.4,3.71818181818182,116.272727272727,7.71818181818182,0.21606,0,4.73429857807406
