when,module,battery,wetness,rain,temperature
2017-04-25 14:17:16.457,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:18:02.024,05,4.278805732727051,1022,1,27.5625
2017-04-25 14:18:49.150,05,4.311221122741699,1023,1,27.5625
2017-04-25 14:19:34.641,05,4.294952392578125,1023,1,27.5625
2017-04-25 14:20:20.128,05,4.294952392578125,1022,1,27.5625
2017-04-25 14:21:05.600,05,4.294952392578125,1022,1,27.5625
2017-04-25 14:21:51.075,05,4.26278018951416,1023,1,27.5625
2017-04-25 14:22:36.541,05,4.344130992889404,1022,1,27.5625
2017-04-25 14:23:10.633,05,4.344130992889404,1023,1,27.5625
2017-04-25 14:23:21.985,05,4.344130992889404,1023,1,-127.0
2017-04-25 14:24:07.441,05,4.360775470733643,1023,1,27.5625
2017-04-25 14:25:38.364,05,4.344130992889404,1023,1,27.5625
2017-04-25 14:26:23.830,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:27:09.299,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:27:54.774,05,4.377547740936279,1023,1,27.5625
2017-04-25 14:28:40.243,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:30:11.165,05,4.327613830566406,1023,1,27.5625
2017-04-25 14:32:27.519,05,4.327613830566406,1023,1,27.5625
2017-04-25 14:33:58.404,05,4.344130992889404,1023,1,27.5625
2017-04-25 14:34:43.838,05,4.2468743324279785,1023,1,27.5625
2017-04-25 13:19:11.359,05,4.123776912689209,1004,0,27.8125
2017-04-25 13:19:22.715,05,4.231086730957031,1004,0,27.8125
2017-04-25 13:19:34.058,05,4.153877258300781,1004,0,27.8125
2017-04-25 13:19:45.408,05,4.215416431427002,1004,0,27.875
2017-04-25 13:19:56.754,05,4.153877258300781,1004,0,27.875
2017-04-25 13:20:08.110,05,4.123776912689209,1004,0,27.875
2017-04-25 13:20:19.452,05,4.123776912689209,1004,0,27.875
2017-04-25 13:20:30.812,05,4.169093132019043,1004,0,27.875
2017-04-25 13:48:02.270,05,4.138772010803223,1008,0,28.25
2017-04-25 13:49:10.445,05,4.0503997802734375,1023,0,29.75
2017-04-25 13:49:55.913,05,4.231086730957031,1011,0,31.8125
2017-04-25 13:50:41.411,05,4.169093132019043,1011,0,31.9375
2017-04-25 13:52:57.953,05,4.215416431427002,996,0,37.25
2017-04-25 13:53:43.491,05,4.2468743324279785,986,0,37.1875
2017-04-25 13:56:00.147,05,4.1998610496521,1023,0,29.75
2017-04-25 13:59:02.446,05,4.231086730957031,1023,0,27.875
2017-04-25 13:59:49.545,05,4.215416431427002,1023,0,27.8125
2017-04-25 14:00:35.002,05,4.278805732727051,1023,0,27.75
2017-04-25 14:01:20.463,05,4.231086730957031,1023,0,27.75
2017-04-25 14:02:05.939,05,4.360775470733643,1022,0,27.6875
2017-04-25 14:02:51.403,05,4.344130992889404,1022,0,-127.0
2017-04-25 14:03:36.894,05,4.2468743324279785,1020,0,-127.0
2017-04-25 14:08:09.917,05,4.360775470733643,1022,1,27.625
2017-04-25 14:08:55.438,05,4.278805732727051,1023,1,27.625
2017-04-25 14:09:40.964,05,4.344130992889404,1023,1,27.625
2017-04-25 14:10:26.494,05,4.278805732727051,1023,1,27.625
2017-04-25 14:11:12.028,05,4.394449234008789,1023,1,27.625
2017-04-25 14:11:57.565,05,4.278805732727051,1023,1,27.625
2017-04-25 14:12:43.106,05,4.344130992889404,1023,1,27.625
2017-04-25 14:24:52.901,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:29:25.702,05,4.26278018951416,1023,1,27.5625
2017-04-25 14:30:56.617,05,4.26278018951416,1023,1,27.5625
2017-04-25 14:31:42.069,05,4.2468743324279785,1023,1,27.5625
2017-04-25 14:33:12.965,05,4.278805732727051,1023,1,27.5625
2017-04-25 14:37:00.124,05,4.311221122741699,1023,1,-127.0
2017-04-25 14:39:18.123,05,4.377547740936279,1023,1,27.5625
2017-04-25 15:56:01.358,05,4.311221122741699,1023,1,27.6875
2017-04-25 15:57:32.132,05,4.327613830566406,1023,1,27.6875
2017-04-25 15:58:17.510,05,4.411481857299805,1023,1,27.6875
2017-04-25 15:59:48.291,05,4.360775470733643,1023,1,27.6875
2017-04-25 16:00:33.674,05,4.294952392578125,1023,1,27.6875
2017-04-25 16:01:19.026,05,4.344130992889404,1023,1,27.6875
2017-04-25 16:02:04.386,05,4.360775470733643,1023,1,27.6875
2017-04-25 16:02:49.735,05,4.360775470733643,1023,1,27.6875
2017-04-25 16:05:51.163,05,4.278805732727051,1023,1,27.75
2017-04-25 16:15:43.210,05,4.278805732727051,1023,1,-127.0
2017-04-25 16:18:44.823,05,4.2468743324279785,1023,1,27.75
2017-04-25 16:19:30.201,05,4.26278018951416,1023,1,-127.0
2017-04-25 16:20:15.601,05,4.294952392578125,1023,1,27.75
2017-04-25 16:21:01.019,05,4.344130992889404,1023,1,27.75
2017-04-25 16:23:17.289,05,4.311221122741699,1023,1,27.75
2017-04-25 16:56:40.612,05,4.327613830566406,1023,1,27.875
2017-04-25 16:58:11.476,05,4.327613830566406,1023,1,-127.0
2017-04-25 17:00:27.669,05,4.344130992889404,1023,1,27.875
2017-04-25 17:08:01.785,05,4.231086730957031,1023,1,27.875
2017-04-25 17:08:47.169,05,4.278805732727051,1023,1,27.875
2017-04-25 17:10:19.633,05,4.311221122741699,1023,1,0.0
2017-04-25 17:18:39.637,05,4.26278018951416,1023,1,-127.0
2017-04-25 17:24:43.043,05,4.215416431427002,1023,1,27.9375
2017-04-25 17:25:28.445,05,4.278805732727051,1023,1,27.9375
2017-04-25 17:26:13.855,05,4.231086730957031,1023,1,27.9375
2017-04-25 17:26:59.282,05,4.294952392578125,1023,1,27.9375
2017-04-25 17:27:44.697,05,4.215416431427002,1023,1,27.9375
2017-04-25 17:34:35.699,05,4.215416431427002,1023,1,-127.0
2017-04-25 17:35:21.183,05,4.231086730957031,1023,1,-127.0
2017-04-25 17:42:56.303,05,4.294952392578125,1023,1,28.0
2017-04-25 17:45:58.360,05,4.231086730957031,1023,1,28.0
2017-04-25 17:49:47.250,05,4.231086730957031,1023,1,28.0625
2017-04-25 17:50:32.682,05,4.327613830566406,1023,1,28.0625
2017-04-25 17:54:19.880,05,4.278805732727051,1023,1,28.0625
2017-04-25 17:56:36.217,05,4.215416431427002,1023,1,28.0625
2017-04-25 17:58:07.088,05,4.278805732727051,1023,1,28.0625
2017-04-25 17:58:52.528,05,4.215416431427002,1023,1,28.0625
2017-04-25 17:59:37.963,05,4.231086730957031,1023,1,28.0625
2017-04-25 18:00:23.394,05,4.294952392578125,1023,1,28.0625
2017-04-25 18:01:08.849,05,4.215416431427002,1023,1,28.0625
2017-04-25 18:03:25.143,05,4.215416431427002,1023,1,28.0625
2017-04-25 18:04:10.573,05,4.278805732727051,1023,1,28.0625
2017-04-25 18:06:28.487,05,4.231086730957031,1023,1,-127.0
2017-04-25 18:09:30.484,05,4.1998610496521,1023,1,28.125
2017-04-25 18:11:46.966,05,4.215416431427002,1023,1,28.125
2017-04-25 18:12:32.455,05,4.184420585632324,1023,1,28.125
2017-04-25 18:20:07.226,05,4.2468743324279785,1023,1,28.125
2017-04-25 18:23:09.087,05,4.184420585632324,1023,1,28.1875
2017-04-25 18:23:54.551,05,4.278805732727051,1023,1,28.125
